name,ori_price,disc_price,disc,region,platforms,review,img,link
Baby Shark™: Sing & Swim Party (PC) Steam Key GLOBAL,"Rp 299.999,00","Rp 16.771,48",-94%,Global,Steam,236,https://imgproxy.eneba.games/pK6oT0hT1Pkma3CxRWxYBs745-rrSayOq_xvFWF27hs/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy90/aXAxdm9TcXdvZW1Y/N0ZUM0RKZDBFckVm/am5zOUVCQ0VDWXJj/SXMwcFNzLmpwZw,/id-id/steam-baby-sharktm-sing-swim-party-pc-steam-key-global
FATAL FRAME / PROJECT ZERO: Maiden of Black Water (PC) Steam Key GLOBAL,"Rp 580.000,00","Rp 373.815,61",-36%,Global,Steam,2481,https://imgproxy.eneba.games/QMURbO4OUZ0CNlbTEJvUrLjc8VRoCwkexyrmfJ5t18o/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9x/OGc5OFk5dVFRLUhC/UllJY2E5NXRzakgx/eFdzTTFSaDYxNTFo/M2JQZ05zLmpwZWc,/id-id/steam-fatal-frame-project-zero-maiden-of-black-water-pc-steam-key-global
Middle-earth: Shadow of Mordor (GOTY) Steam Key GLOBAL,"Rp 387.339,34","Rp 42.609,06",-89%,Global,Steam,9192,https://imgproxy.eneba.games/Oyq-kpULpl7L36LAg3obPrPNSoh1RCvvATCqcYruzHU/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9N/aWRkbGUtZWFydGg6/IFNoYWRvdyBvZiBN/b3Jkb3IuanBn,/id-id/steam-middle-earth-shadow-of-mordor-goty-steam-key-global
Middle-earth: Shadow of War (Definitive Edition) Steam Key GLOBAL,"Rp 775.052,39","Rp 43.200,85",-94%,Global,Steam,11662,https://imgproxy.eneba.games/GuS7fiMEJ2FZZ1tSwDDkjQcZ-noRcnpP_3YprZ77f7E/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9I/bVMySGY3cnBPdnpH/SWJsaFpvT2hlYVcw/bWJuZi1zUFEwanlU/dk0yUUJBLmpwZWc,/id-id/steam-middle-earth-shadow-of-war-definitive-edition-steam-key-global
Assetto Corsa (Ultimate Edition) Steam Key GLOBAL,"Rp 793.257,67","Rp 225.867,48",-72%,Global,Steam,5590,https://imgproxy.eneba.games/jf4FTqHisQbMat5S1mNbtQHG0viK83r2vJSfEIV8CsU/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9E/MXBVVU9uLmpwZw,/id-id/steam-assetto-corsa-ultimate-edition-steam-key-global
Hogwarts Legacy Deluxe Edition (PC) Steam Key GLOBAL,"Rp 1.381.279,91","Rp 154.457,85",-89%,Global,Steam,6304,https://imgproxy.eneba.games/wOqqyvgrT8U4UboFoQF2DXgJQ_VYPLEgOFvhTv1ALdI/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy8x/ZlMzTmF4MGh1elRH/WU1rRXVDbjJjWlZ6/NV81Q0lkbW1qZXFT/SmhHdjVnLmpwZw,/id-id/steam-hogwarts-legacy-deluxe-edition-pc-steam-key-global
7 Days to Die Steam Key GLOBAL,"Rp 338.999,00","Rp 280.115,13",-17%,Global,Steam,10629,https://imgproxy.eneba.games/cUB2MpDi8L--q3zh-Hw5tJwE7tbk6NIpq34j7viHXYM/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy83/IERheXMgdG8gRGll/LmpwZw,/id-id/steam-7-days-to-die-steam-key-global
"Warhammer 40,000: Space Marine 2 (PC) Steam Key GLOBAL","Rp 549.000,00","Rp 373.618,35",-32%,Global,Steam,6492,https://imgproxy.eneba.games/Tf0nPNGVCoxiZifXz8jCEoKkpkRCwSsUPe40jfgJkXo/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9a/ZUxJa3FKMEtkeTY1/TEpISnY1SFNpLVZ3/QWZPTjRMSlpESnFo/U1J4UkM0LmpwZw,/id-id/steam-warhammer-40-000-space-marine-2-pc-steam-key-global
Lost Skies Steam (PC) Key GLOBAL,"Rp 206.999,00","Rp 14.400,28",-93%,Global,Steam,1391,https://imgproxy.eneba.games/-vH-tNEjiSH3f107P_9fmWig0X5vA9wBrlK-9BBXy2M/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9P/amo3N2p0eUZpWVNS/T2N3NzRINFpBTUxJ/T1RycWN5Y3hRZ2dG/TlRILUt3LmpwZw,/id-id/steam-lost-skies-steam-pc-key-global
Settlement Survival (PC) Steam Key GLOBAL,"Rp 183.598,00","Rp 9.271,42",-95%,Global,Steam,968,https://imgproxy.eneba.games/frVCm7_rlkM4xx1oA0hXO6tea976jwsAcuD79AP8z8g/rs:fit:300/ar:1/czM6Ly9wcm9kdWN0/cy5lbmViYS5nYW1l/cy9wcm9kdWN0cy9C/V3JlNnJtdV9WZTFI/aEJsNExHSWVhSkNU/QmFDTEZ6UWxYS0lk/OXdSNW9ZLmpwZWc,/id-id/steam-settlement-survival-pc-steam-key-global
